team1,team2,team3,team4,team5,team6,blue_score,red_score,winner
frc3407,frc3244,frc6709,frc2509,frc2825,frc2846,48,39,blue
frc5637,frc2508,frc4207,frc2480,frc3299,frc2823,47,46,blue
frc3038,frc2501,frc3751,frc5541,frc3745,frc2502,47,51,red
frc4664,frc5541,frc4536,frc3244,frc3454,frc3102,29,65,red
frc4664,frc3102,frc3134,frc3630,frc2855,frc2232,47,66,red
frc5464,frc4198,frc7850,frc3007,frc2513,frc7038,64,46,blue
frc3184,frc7180,frc5913,frc4607,frc3871,frc2879,57,57,tie
frc2530,frc3023,frc3454,frc7068,frc5996,frc2052,27,72,red
frc3055,frc5434,frc2515,frc2518,frc3298,frc4549,37,46,red
frc2501,frc5637,frc2498,frc3630,frc2529,frc2509,54,71,red
frc5172,frc3102,frc2513,frc2987,frc2502,frc3244,75,65,blue
frc3058,frc2480,frc3134,frc4536,frc4198,frc3751,45,68,red
frc2232,frc2532,frc4207,frc7068,frc7850,frc5913,84,67,blue
frc2530,frc5434,frc3745,frc3202,frc2181,frc4607,63,53,blue
frc6709,frc2232,frc3298,frc5637,frc3299,frc3026,25,27,red
frc5541,frc4229,frc7038,frc2470,frc2518,frc3184,51,47,blue
frc2846,frc3871,frc7028,frc5232,frc5996,frc3023,73,52,blue
frc2823,frc2052,frc2515,frc5464,frc4664,frc6709,58,41,blue
frc2500,frc3038,frc3299,frc3454,frc3007,frc3055,69,44,blue
frc3026,frc4549,frc2825,frc2508,frc7180,frc2855,41,44,red
frc3298,frc3407,frc2987,frc2879,frc3745,frc3630,62,36,blue
frc2052,frc5172,frc3026,frc2823,frc2508,frc3630,95,73,blue
frc2052,frc5172,frc3026,frc2823,frc2508,frc3630,90,74,blue
frc7028,frc2987,frc4536,frc4607,frc3102,frc3184,73,84,red
frc7028,frc2987,frc4536,frc4607,frc3102,frc3184,65,83,red
